product_id,title,status,date,end_time,sport,doubles,slots,participants_count,gameplan_state,club_name
mCbGkiqOhcXUf9,PAIR MEXICANO ,program,2026-03-21 10:00:00,12:00:00,padel,True,16,3,signup,V7 PADEL ANTALYA
mCbGkiqOhcXUf9_2026-03-21,PAIR MEXICANO ,instance,2026-03-21 10:00:00,12:00:00,padel,True,12,12,ended,V7 PADEL ANTALYA
mCbGkiqOhcXUf9_2026-03-28,PAIR MEXICANO ,instance,2026-03-28 10:00:00,12:00:00,padel,True,12,12,ended,V7 PADEL ANTALYA
mCbGkiqOhcXUf9_2026-04-04,PAIR MEXICANO ,instance,2026-04-04 10:00:00,12:00:00,padel,True,16,16,ended,V7 PADEL ANTALYA
mCbGkiqOhcXUf9_2026-04-25,PAIR MEXICANO ,instance,2026-04-25 10:00:00,12:00:00,padel,True,16,3,signup,V7 PADEL ANTALYA
mIfL1fogB3GXsq,Final Rally of the Year,program,2025-12-30 12:00:00,14:00:00,padel,False,16,1,signup,V7 PADEL Antalya
mTvuKkwt7Qc8Da,MORNING COFFEE,instance,2026-04-10 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
mw96Rm4cTKxTXp,🌱 Beginners Americano with Eda,instance,2025-10-22 12:00:00,13:30:00,padel,True,4,4,ended,V7 Padel Antalya
n3gbHEmtvj7GUx,LADY’S RANKED,instance,2026-02-04 12:00:00,14:00:00,padel,True,8,8,ended,V7 Padel Antalya
nhGjbTXl2cpJTs,🌱Beginners Americano with Eda,instance,2025-10-15 12:00:00,13:30:00,padel,True,8,8,ended,V7 Padel Antalya
p8VemTEkl8YNJ0,V7 Rookie Series,program,2025-09-13 10:00:00,11:30:00,padel,True,8,1,signup,V7 Padel Antalya
pQNIh1Esf0UbSn,MONDAY ☕️ Morning Coffee ☕️,program,2025-11-03 10:00:00,12:00:00,padel,True,16,8,signup,V7 Padel Antalya
pQNIh1Esf0UbSn_2025-11-03,MONDAY ☕️ Americano Morning Coffee ☕️,instance,2025-11-03 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2025-11-10,MONDAY ☕️ Americano Morning Coffee ☕️,instance,2025-11-10 10:00:00,12:00:00,padel,True,12,12,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2025-11-17,MONDAY ☕️ Americano Morning Coffee ☕️,instance,2025-11-17 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2025-12-01,MONDAY ☕️ Morning Coffee ☕️,instance,2025-12-01 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2025-12-08,MONDAY ☕️ Morning Coffee ☕️,instance,2025-12-08 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2025-12-15,MONDAY ☕️ Morning Coffee ☕️,instance,2025-12-15 10:00:00,12:00:00,padel,True,12,12,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2025-12-29,MONDAY ☕️ Morning Coffee ☕️,instance,2025-12-29 10:00:00,12:00:00,padel,True,12,12,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-01-05,MONDAY ☕️ Morning Coffee ☕️,instance,2026-01-05 10:00:00,12:00:00,padel,True,8,8,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-01-12,MONDAY ☕️ Morning Coffee ☕️,instance,2026-01-12 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-01-19,MONDAY ☕️ Morning Coffee ☕️,instance,2026-01-19 10:00:00,12:00:00,padel,True,12,12,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-01-26,MONDAY ☕️ Morning Coffee ☕️,instance,2026-01-26 10:00:00,12:00:00,padel,True,16,3,signup,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-02-02,MONDAY ☕️ Morning Coffee ☕️,instance,2026-02-02 10:00:00,12:00:00,padel,True,16,4,signup,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-02-09,MONDAY ☕️ Morning Coffee ☕️,instance,2026-02-09 10:00:00,12:00:00,padel,True,16,4,signup,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-02-16,MONDAY ☕️ Morning Coffee ☕️,instance,2026-02-16 10:00:00,12:00:00,padel,True,16,5,signup,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-02-23,MONDAY ☕️ Morning Coffee ☕️,instance,2026-02-23 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-03-02,MONDAY ☕️ Morning Coffee ☕️,instance,2026-03-02 10:00:00,12:00:00,padel,True,16,8,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-03-09,MONDAY ☕️ Evening Coffee ☕️,instance,2026-03-09 18:30:00,20:30:00,padel,True,16,16,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-03-16,MONDAY ☕️ Morning Coffee ☕️,instance,2026-03-16 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-03-23,MONDAY ☕️ Morning Coffee ☕️,instance,2026-03-23 10:00:00,12:00:00,padel,True,12,12,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-03-30,MONDAY ☕️ Morning Coffee ☕️,instance,2026-03-30 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-04-06,MONDAY ☕️ Morning Coffee ☕️,instance,2026-04-06 10:00:00,12:00:00,padel,True,12,12,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-04-13,MONDAY ☕️ Morning Coffee ☕️,instance,2026-04-13 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-04-20,MONDAY ☕️ Morning Coffee ☕️,instance,2026-04-20 10:00:00,12:00:00,padel,True,16,1,signup,V7 Padel Antalya
pQNIh1Esf0UbSn_2026-04-27,MONDAY ☕️ Morning Coffee ☕️,instance,2026-04-27 10:00:00,12:00:00,padel,True,16,8,signup,V7 Padel Antalya
pgH9zLu4gj9vgi,V7 Final Tournament,instance,2025-11-24 19:00:00,21:00:00,padel,True,16,16,ended,V7 Padel Antalya
pxDeeKPM9Pfv3U,SUNDAY RANKED 📈 to 1100,instance,,,padel,True,4,4,scheduled,V7 Padel Antalya
q3l7flz1RJUKAM,RANKED TO 1100,instance,2026-01-21 17:30:00,19:30:00,padel,True,12,12,ended,V7 Padel Antalya
qBhtbpUUAsy0Kv,BEGINNERS TOURNAMENT,instance,2026-03-10 10:00:00,12:00:00,padel,True,8,1,signup,V7 PADEL ANTALYA
qtfq03eejtI9G9,FRIDAY ☕️ MORNING COFFEE☕️,program,2026-01-02 10:00:00,12:00:00,padel,True,16,8,signup,V7 Padel Antalya
qtfq03eejtI9G9_2026-01-02,FRIDAY ☕️ MORNING COFFEE☕️,instance,2026-01-02 10:00:00,12:00:00,padel,True,16,3,signup,V7 Padel Antalya
qtfq03eejtI9G9_2026-01-09,FRIDAY ☕️ MORNING COFFEE☕️,instance,2026-01-09 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
qtfq03eejtI9G9_2026-01-16,FRIDAY ☕️ MORNING COFFEE☕️,instance,2026-01-16 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
qtfq03eejtI9G9_2026-01-23,FRIDAY ☕️ MORNING COFFEE☕️,instance,2026-01-23 10:00:00,12:00:00,padel,True,16,9,signup,V7 Padel Antalya
qtfq03eejtI9G9_2026-02-13,FRIDAY ☕️ MORNING COFFEE☕️,instance,2026-02-13 10:00:00,12:00:00,padel,True,16,3,signup,V7 Padel Antalya
qtfq03eejtI9G9_2026-02-20,FRIDAY ☕️ MORNING COFFEE☕️,instance,2026-02-20 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
qtfq03eejtI9G9_2026-02-27,FRIDAY ☕️ MORNING COFFEE☕️,instance,2026-02-27 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
qu0x5GU7pPsH6H,🌙 RAMAZAN BAYRAMI PADEL CUP,instance,2026-03-22 18:00:00,20:00:00,padel,True,8,8,ended,V7 Padel Antalya
r97doYQAY9RnE1,Level Up Americano,program,2025-09-15 18:00:00,20:00:00,padel,True,8,2,signup,V7 Padel Antalya
rTBnRIYv96NddA,SUNDAY RANKED 📈 to 1100,instance,,,padel,True,4,4,scheduled,V7 Padel Antalya
rppRSMVOpjAmqQ,V7 MORNING BEGINNERS,instance,2026-02-03 10:00:00,11:30:00,padel,True,8,2,signup,V7 Padel Antalya
sUzxiGXAFV8Vx4,SATURDAY RANKED 1300+ 📈 ,instance,2026-03-07 12:00:00,14:30:00,padel,True,8,2,signup,V7 Padel Antalya
uLb6GbFdopEcQH,SATURDAY RANKED 📈 1050-1299,instance,2026-03-14 18:00:00,20:00:00,padel,True,8,8,ended,V7 Padel Antalya
uRH6CVRqoqnNw4,SUNDAY RANKED 📈 1100+,instance,2026-03-08 10:00:00,12:00:00,padel,True,12,1,signup,V7 Padel Antalya
uhDWPbx0yjmWAB,🧘‍♀️Yoga&Padel🎾,instance,,,padel,True,8,3,signup,V7 Padel Antalya
v45UuzI1rQtJCT,SATURDAY RANKED 📈 1300+,instance,2026-02-21 12:00:00,14:30:00,padel,True,4,1,signup,
wGfQyCbYB2ePvl,SATURDAY RANKED 📈TO 900 ,program,2025-11-15 10:00:00,12:00:00,padel,True,8,1,signup,V7 Padel Antalya
wGfQyCbYB2ePvl_2025-11-22,SATURDAY RANKED 📈TO 900 ,instance,2025-11-22 10:00:00,12:00:00,padel,True,8,8,ended,V7 Padel Antalya
wGfQyCbYB2ePvl_2025-11-29,SATURDAY RANKED 📈TO 900 ,instance,2025-11-29 10:00:00,12:00:00,padel,True,8,1,signup,V7 Padel Antalya
